date,time,temp(c),salinity(ppt),conduct(mS/cm),velocity(m/sec),datetime,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8/13/2022,8:00,17.52,0.02,0.03,1473.8,08/13/2022 8:00:00,,
8/13/2022,8:20,16.52,31.66,40.61,1507.5,08/13/2022 8:20:00,,
8/13/2022,8:40,16.61,31.63,40.66,1507.75,08/13/2022 8:40:00,,
8/13/2022,9:00,16.74,31.63,40.76,1508.11,08/13/2022 9:00:00,,
8/13/2022,9:20,16.92,31.51,40.79,1508.52,08/13/2022 9:20:00,,
8/13/2022,9:40,17.07,31.27,40.65,1508.7,08/13/2022 9:40:00,,
8/13/2022,10:00,17.07,31.23,40.6,1508.65,08/13/2022 10:00:00,,
8/13/2022,10:20,17.1,31.22,40.62,1508.74,08/13/2022 10:20:00,,
8/13/2022,10:40,17.13,31.39,40.85,1509.03,08/13/2022 10:40:00,,
8/13/2022,11:00,17.19,31.63,41.17,1509.48,08/13/2022 11:00:00,,
8/13/2022,11:20,17.07,31.7,41.14,1509.2,08/13/2022 11:20:00,,
8/13/2022,11:40,16.95,31.74,41.09,1508.89,08/13/2022 11:40:00,,
8/13/2022,12:00,17.01,31.7,41.09,1509.02,08/13/2022 12:00:00,,
8/13/2022,12:20,17.07,31.74,41.19,1509.25,08/13/2022 12:20:00,,
8/13/2022,12:40,17.13,31.74,41.25,1509.42,08/13/2022 12:40:00,,
8/13/2022,13:00,17.22,31.73,41.32,1509.69,08/13/2022 13:00:00,,
8/13/2022,13:20,17.31,31.73,41.4,1509.96,08/13/2022 13:20:00,,
8/13/2022,13:40,16.98,31.7,41.07,1508.93,08/13/2022 13:40:00,,
8/13/2022,14:00,16.4,31.75,40.6,1507.24,08/13/2022 14:00:00,,
8/13/2022,14:20,16.1,31.77,40.35,1506.32,08/13/2022 14:20:00,,
8/13/2022,14:40,15.89,31.74,40.12,1505.62,08/13/2022 14:40:00,,
8/13/2022,15:00,15.67,31.73,39.91,1504.94,08/13/2022 15:00:00,,
8/13/2022,15:20,15.52,31.76,39.81,1504.5,08/13/2022 15:20:00,,
8/13/2022,15:40,15.49,31.72,39.73,1504.35,08/13/2022 15:40:00,,
8/13/2022,16:00,15.34,31.59,39.46,1503.72,08/13/2022 16:00:00,,
8/13/2022,16:20,15.25,31.42,39.18,1503.23,08/13/2022 16:20:00,,
8/13/2022,16:40,15.28,31.18,38.93,1503.04,08/13/2022 16:40:00,,
8/13/2022,17:00,15.37,30.24,37.96,1502.22,08/13/2022 17:00:00,,
8/13/2022,17:20,15.58,29.49,37.3,1502.01,08/13/2022 17:20:00,,
8/13/2022,17:40,15.89,29.58,37.65,1503.08,08/13/2022 17:40:00,,
8/13/2022,18:00,16.13,29.18,37.41,1503.38,08/13/2022 18:00:00,,
8/13/2022,18:20,16.52,29.14,37.69,1504.55,08/13/2022 18:20:00,,
8/13/2022,18:40,16.86,28.89,37.67,1505.28,08/13/2022 18:40:00,,
8/13/2022,19:00,17.16,28.87,37.91,1506.18,08/13/2022 19:00:00,,
8/13/2022,19:20,17.37,28.51,37.66,1506.4,08/13/2022 19:20:00,,
