datetime,rain(mm)
11/1/2022 0:00:00,2.5
11/2/2022 0:00:00,0.5
11/3/2022 0:00:00,
11/4/2022 0:00:00,
11/5/2022 0:00:00,0.1
11/6/2022 0:00:00,
11/7/2022 0:00:00,1.4
11/8/2022 0:00:00,8.4
11/9/2022 0:00:00,0.1
11/10/2022 0:00:00,
11/11/2022 0:00:00,
11/12/2022 0:00:00,
11/13/2022 0:00:00,
11/14/2022 0:00:00,
11/15/2022 0:00:00,
11/16/2022 0:00:00,
11/17/2022 0:00:00,
11/18/2022 0:00:00,
11/19/2022 0:00:00,
11/20/2022 0:00:00,
11/21/2022 0:00:00,
11/22/2022 0:00:00,
11/23/2022 0:00:00,
11/24/2022 0:00:00,
11/25/2022 0:00:00,
11/26/2022 0:00:00,
11/27/2022 0:00:00,
11/28/2022 0:00:00,
11/29/2022 0:00:00,
11/30/2022 0:00:00,
12/1/2022 0:00:00,5.1
12/2/2022 0:00:00,
12/3/2022 0:00:00,4
12/4/2022 0:00:00,0.7
12/5/2022 0:00:00,0.5
12/6/2022 0:00:00,1.1
12/7/2022 0:00:00,
12/8/2022 0:00:00,1.1
12/9/2022 0:00:00,0.6
12/10/2022 0:00:00,8.3
12/11/2022 0:00:00,4.2
12/12/2022 0:00:00,0.5
12/13/2022 0:00:00,
12/14/2022 0:00:00,
12/15/2022 0:00:00,
12/16/2022 0:00:00,
12/17/2022 0:00:00,
12/18/2022 0:00:00,
12/19/2022 0:00:00,
12/20/2022 0:00:00,0.1
12/21/2022 0:00:00,
12/22/2022 0:00:00,
12/23/2022 0:00:00,
12/24/2022 0:00:00,
12/25/2022 0:00:00,
12/26/2022 0:00:00,
12/27/2022 0:00:00,8.4
12/28/2022 0:00:00,
12/29/2022 0:00:00,0.9
12/30/2022 0:00:00,4.1
12/31/2022 0:00:00,30
1/1/2023 0:00:00,
1/2/2023 0:00:00,2.4
1/3/2023 0:00:00,0.1
1/4/2023 0:00:00,7.2
1/5/2023 0:00:00,4.9
1/6/2023 0:00:00,
1/7/2023 0:00:00,3
1/8/2023 0:00:00,6.3
1/9/2023 0:00:00,10.7
1/10/2023 0:00:00,7.1
1/11/2023 0:00:00,5.3
1/12/2023 0:00:00,0.3
1/13/2023 0:00:00,3.9
1/14/2023 0:00:00,13.3
1/15/2023 0:00:00,3.5
1/16/2023 0:00:00,7
1/17/2023 0:00:00,
1/18/2023 0:00:00,0.4
1/19/2023 0:00:00,0.9
1/20/2023 0:00:00,
1/21/2023 0:00:00,
1/22/2023 0:00:00,
1/23/2023 0:00:00,
1/24/2023 0:00:00,
1/25/2023 0:00:00,
1/26/2023 0:00:00,
1/27/2023 0:00:00,
1/28/2023 0:00:00,
1/29/2023 0:00:00,0.6
1/30/2023 0:00:00,
1/31/2023 0:00:00,
2/1/2023 0:00:00,
2/2/2023 0:00:00,
2/3/2023 0:00:00,1.3
2/4/2023 0:00:00,2
2/5/2023 0:00:00,2.9
2/6/2023 0:00:00,
2/7/2023 0:00:00,
2/8/2023 0:00:00,
2/9/2023 0:00:00,
2/10/2023 0:00:00,
2/11/2023 0:00:00,0.4
2/12/2023 0:00:00,
2/13/2023 0:00:00,
2/14/2023 0:00:00,0.3
2/15/2023 0:00:00,
2/16/2023 0:00:00,
2/17/2023 0:00:00,
2/18/2023 0:00:00,
2/19/2023 0:00:00,
2/20/2023 0:00:00,
2/21/2023 0:00:00,
2/22/2023 0:00:00,0.1
2/23/2023 0:00:00,1.4
2/24/2023 0:00:00,7.3
2/25/2023 0:00:00,0.7
2/26/2023 0:00:00,2.2
2/27/2023 0:00:00,0.5
2/28/2023 0:00:00,0.3
3/1/2023 0:00:00,0.8
3/2/2023 0:00:00,
3/3/2023 0:00:00,
3/4/2023 0:00:00,0.2
3/5/2023 0:00:00,0.7
3/6/2023 0:00:00,0.7
3/7/2023 0:00:00,0.2
3/8/2023 0:00:00,
3/9/2023 0:00:00,4.2
3/10/2023 0:00:00,4.3
3/11/2023 0:00:00,2.4
3/12/2023 0:00:00,0.5
3/13/2023 0:00:00,0.2
3/14/2023 0:00:00,11.8
3/15/2023 0:00:00,
3/16/2023 0:00:00,
3/17/2023 0:00:00,0.1
3/18/2023 0:00:00,0.8
3/19/2023 0:00:00,1.4
3/20/2023 0:00:00,0.4
3/21/2023 0:00:00,2.2
3/22/2023 0:00:00,
3/23/2023 0:00:00,
3/24/2023 0:00:00,
3/25/2023 0:00:00,
3/26/2023 0:00:00,
3/27/2023 0:00:00,
3/28/2023 0:00:00,5.6
3/29/2023 0:00:00,3.7
3/30/2023 0:00:00,
3/31/2023 0:00:00,
4/1/2023 0:00:00,0.2
4/2/2023 0:00:00,
4/3/2023 0:00:00,
4/4/2023 0:00:00,
4/5/2023 0:00:00,
4/6/2023 0:00:00,
4/7/2023 0:00:00,0.8
4/8/2023 0:00:00,
4/9/2023 0:00:00,
4/10/2023 0:00:00,
4/11/2023 0:00:00,
4/12/2023 0:00:00,
4/13/2023 0:00:00,
4/14/2023 0:00:00,
4/15/2023 0:00:00,
4/16/2023 0:00:00,
4/17/2023 0:00:00,
4/18/2023 0:00:00,0.2
4/19/2023 0:00:00,
4/20/2023 0:00:00,
4/21/2023 0:00:00,
4/22/2023 0:00:00,
