specimen_number,specimen_id,collection_group,date_of_collection,intertidal_zone,time_of_collection,internal_temp(c),pool_temp(c),salinity(ppt),num_cells_per_ug_protein,date_time,doy
197,1.0,4.0,2022-08-27,low,0635,,14.7,35.0,297.1462177,2022-08-27,239
198,2.0,4.0,2022-08-27,low,0637,,14.7,35.0,270.8601223,2022-08-27,239
199,3.0,4.0,2022-08-27,low,0647,,14.5,35.0,2336.40302,2022-08-27,239
200,4.0,4.0,2022-08-27,low,0649,,14.5,35.0,1079.883735,2022-08-27,239
201,5.0,4.0,2022-08-27,low,0700,,14.3,36.0,1749.898902,2022-08-27,239
203,6.0,4.0,2022-08-27,low,0703,,14.3,36.0,1967.920083,2022-08-27,239
205,7.0,4.0,2022-08-27,low,0715,,14.3,35.0,1696.712943,2022-08-27,239
206,8.0,4.0,2022-08-27,low,0719,,14.3,35.0,1206.66422,2022-08-27,239
207,10.0,4.0,2022-08-27,low,0725,,14.5,36.0,1200.122177,2022-08-27,239
208,9.0,4.0,2022-08-27,low,0728,,14.5,36.0,1057.835206,2022-08-27,239
209,27.0,4.0,2022-08-27,middle,0735,,14.3,36.0,985.445892,2022-08-27,239
210,13.0,4.0,2022-08-27,middle,0747,,14.6,35.0,1314.613642,2022-08-27,239
211,26.0,4.0,2022-08-27,middle,0750,,14.6,35.0,1457.925913,2022-08-27,239
212,26.0,4.0,2022-08-27,middle,0750,,14.6,35.0,1554.207123,2022-08-27,239
213,16.0,4.0,2022-08-27,middle,0800,,14.7,35.0,914.5124018,2022-08-27,239
214,15.0,4.0,2022-08-27,middle,0803,,14.7,35.0,1754.537098,2022-08-27,239
215,23.0,4.0,2022-08-27,high,0805,,14.7,35.0,1053.853747,2022-08-27,239
216,22.0,4.0,2022-08-27,high,0808,,14.7,35.0,945.6046843,2022-08-27,239
217,29.0,4.0,2022-08-27,high,0815,,14.8,34.0,870.6391655,2022-08-27,239
218,30.0,4.0,2022-08-27,high,0817,,14.9,34.0,1334.367536,2022-08-27,239
219,24.0,4.0,2022-08-27,high,0822,,14.6,34.0,1197.267939,2022-08-27,239
220,25.0,4.0,2022-08-27,high,0824,,14.6,34.0,793.9801986,2022-08-27,239
221,21.0,4.0,2022-08-28,middle,0645,,14.6,33.0,1645.837984,2022-08-28,240
223,20.0,4.0,2022-08-28,middle,0652,,14.6,33.0,1564.243863,2022-08-28,240
224,19.0,4.0,2022-08-28,middle,0703,,14.5,35.0,1006.492443,2022-08-28,240
225,17.0,4.0,2022-08-28,middle,0704,,14.5,35.0,1834.598528,2022-08-28,240
226,18.0,4.0,2022-08-28,middle,0706,,14.5,35.0,1160.147794,2022-08-28,240
227,14.0,4.0,2022-08-28,middle,0711,,14.5,35.0,1453.318481,2022-08-28,240
228,11.0,4.0,2022-08-28,middle,0713,,14.5,35.0,1691.946311,2022-08-28,240
229,12.0,4.0,2022-08-28,middle,0715,,14.7,35.0,1701.502066,2022-08-28,240
230,38.0,4.0,2022-08-28,middle,0726,,14.5,35.0,1150.120743,2022-08-28,240
231,36.0,4.0,2022-08-28,middle,0728,,14.5,35.0,898.0495232,2022-08-28,240
235,29.0,5.0,2022-09-06,high,0320,,13.2,,1097.798628,2022-09-06,249
236,24.0,5.0,2022-09-06,high,0328,,13.4,33.0,1006.212052,2022-09-06,249
237,25.0,5.0,2022-09-06,high,0329,,13.4,33.0,823.1047757,2022-09-06,249
238,21.0,5.0,2022-09-06,middle,0337,,13.8,32.0,1303.686161,2022-09-06,249
239,20.0,5.0,2022-09-06,middle,0339,,13.8,32.0,912.0980187,2022-09-06,249
240,26.0,5.0,2022-09-06,middle,0347,,14.0,32.0,1300.687561,2022-09-06,249
241,16.0,5.0,2022-09-06,middle,0350,,14.1,33.0,1285.043584,2022-09-06,249
242,18.0,5.0,2022-09-06,middle,0402,,14.4,35.0,1447.401561,2022-09-06,249
243,17.0,5.0,2022-09-06,middle,0403,,14.4,35.0,1399.51213,2022-09-06,249
244,11.0,5.0,2022-09-06,middle,0410,,,,1450.145815,2022-09-06,249
245,23.0,5.0,2022-09-06,high,0416,,,,1075.135026,2022-09-06,249
246,22.0,5.0,2022-09-06,high,0417,,,,887.2664365,2022-09-06,249
247,1.0,5.0,2022-09-07,low,0418,,13.9,33.0,217.6997565,2022-09-07,250
248,2.0,5.0,2022-09-07,low,0420,,13.9,33.0,803.4519151,2022-09-07,250
249,3.0,5.0,2022-09-07,low,0430,14.1,,,1797.282346,2022-09-07,250
250,4.0,5.0,2022-09-07,low,0433,14.2,,,1533.688186,2022-09-07,250
251,5.0,5.0,2022-09-07,low,0450,,13.8,34.0,1337.351137,2022-09-07,250
252,6.0,5.0,2022-09-07,low,0452,,13.8,34.0,1505.994425,2022-09-07,250
253,8.0,5.0,2022-09-07,low,0457,,13.9,34.0,664.406222,2022-09-07,250
254,7.0,5.0,2022-09-07,low,0457,,13.9,34.0,796.7244267,2022-09-07,250
255,10.0,5.0,2022-09-07,low,0510,,,,1608.296112,2022-09-07,250
256,9.0,5.0,2022-09-07,low,0512,,,,1394.994699,2022-09-07,250
257,19.0,5.0,2022-09-07,middle,0518,,,,1455.891915,2022-09-07,250
258,12.0,5.0,2022-09-07,middle,0522,,,,1866.33518,2022-09-07,250
259,13.0,5.0,2022-09-07,middle,0525,,,,1785.829846,2022-09-07,250
260,27.0,5.0,2022-09-07,middle,0531,,,,733.5173908,2022-09-07,250
261,15.0,5.0,2022-09-07,middle,0544,,,,1385.87175,2022-09-07,250
262,37.0,5.0,2022-09-07,middle,0550,,13.2,35.0,979.9608551,2022-09-07,250
263,7.0,6.0,2022-09-23,low,,,15.2,35.0,769.4503059,2022-09-23,266
264,7.0,6.0,2022-09-23,low,,,15.2,35.0,424.6131337,2022-09-23,266
265,18.0,6.0,2022-09-23,middle,,,15.1,35.0,900.9927064,2022-09-23,266
266,18.0,6.0,2022-09-23,middle,,,15.1,35.0,1008.011481,2022-09-23,266
267,11.0,6.0,2022-09-23,middle,,14.3,,,1499.541668,2022-09-23,266
268,11.0,6.0,2022-09-23,middle,,14.3,,,1483.041915,2022-09-23,266
269,13.0,6.0,2022-09-23,middle,,13.5,,,1305.759518,2022-09-23,266
270,13.0,6.0,2022-09-23,middle,,13.5,,,2040.315977,2022-09-23,266
271,26.0,6.0,2022-09-23,middle,,,14.6,35.0,827.7738257,2022-09-23,266
272,15.0,6.0,2022-09-23,middle,,,14.6,35.0,1708.113254,2022-09-23,266
273,15.0,6.0,2022-09-23,middle,,,14.6,35.0,1448.537525,2022-09-23,266
274,21.0,6.0,2022-09-23,middle,,,14.6,35.0,978.0082324,2022-09-23,266
275,16.0,6.0,2022-09-23,middle,,,14.6,35.0,1315.979124,2022-09-23,266
276,21.0,6.0,2022-09-23,middle,,,14.6,35.0,1063.345235,2022-09-23,266
277,21.0,6.0,2022-09-23,middle,,,14.6,35.0,1010.51965,2022-09-23,266
278,20.0,6.0,2022-09-23,middle,,,,,1538.686503,2022-09-23,266
279,20.0,6.0,2022-09-23,middle,,,,,1301.192543,2022-09-23,266
280,29.0,6.0,2022-09-23,high,,,14.3,35.0,1614.140776,2022-09-23,266
281,29.0,6.0,2022-09-23,high,,,14.3,35.0,1429.4157,2022-09-23,266
283,23.0,6.0,2022-09-23,high,,,14.3,35.0,1406.477664,2022-09-23,266
284,22.0,6.0,2022-09-23,high,,,14.3,35.0,1597.732399,2022-09-23,266
285,22.0,6.0,2022-09-23,high,,,14.3,35.0,1795.315725,2022-09-23,266
286,22.0,6.0,2022-09-23,high,,,14.3,35.0,1255.640312,2022-09-23,266
287,24.0,6.0,2022-09-23,high,,,14.1,36.0,875.8766815,2022-09-23,266
288,2.0,6.0,2022-09-24,low,,,,,722.0389542,2022-09-24,267
289,1.0,6.0,2022-09-24,low,,,,,340.5015328,2022-09-24,267
290,3.0,6.0,2022-09-24,low,,,,,1127.74238,2022-09-24,267
291,3.0,6.0,2022-09-24,low,,,,,1414.637677,2022-09-24,267
292,6.0,6.0,2022-09-24,low,,,,,1747.127108,2022-09-24,267
294,9.0,6.0,2022-09-24,low,,,,,930.5629871,2022-09-24,267
295,9.0,6.0,2022-09-24,low,,,,,827.5586955,2022-09-24,267
296,9.0,6.0,2022-09-24,low,,,,,1401.340556,2022-09-24,267
297,18.0,6.0,2022-09-24,middle,,,,,960.4066158,2022-09-24,267
298,18.0,6.0,2022-09-24,middle,,,,,1160.626731,2022-09-24,267
299,12.0,6.0,2022-09-24,middle,,,,,1457.411896,2022-09-24,267
300,14.0,6.0,2022-09-24,middle,,,,,911.4330822,2022-09-24,267
301,14.0,6.0,2022-09-24,middle,,,,,1337.152523,2022-09-24,267
302,8.0,6.0,2022-09-24,low,,,,,548.2794623,2022-09-24,267
303,8.0,6.0,2022-09-24,low,,,,,423.2245419,2022-09-24,267
304,24.0,6.0,2022-09-24,high,,,14.3,35.0,704.0054742,2022-09-24,267
305,24.0,6.0,2022-09-24,high,,,14.3,35.0,790.8551844,2022-09-24,267
306,27.0,6.0,2022-09-24,middle,,,,,1236.074816,2022-09-24,267
307,30.0,6.0,2022-09-24,high,,,,,385.2857751,2022-09-24,267
308,30.0,6.0,2022-09-24,high,,,,,354.5750495,2022-09-24,267
309,18.0,7.0,2022-10-10,middle,,,15.4,34.0,1845.329699,2022-10-10,283
310,17.0,7.0,2022-10-10,middle,,,15.4,34.0,1443.953612,2022-10-10,283
311,19.0,7.0,2022-10-10,middle,,,15.4,34.0,1805.194471,2022-10-10,283
312,19.0,7.0,2022-10-10,middle,,,15.4,34.0,2066.247507,2022-10-10,283
313,14.0,7.0,2022-10-10,middle,,,,,1441.418135,2022-10-10,283
314,27.0,7.0,2022-10-10,middle,,,15.0,36.0,929.9929867,2022-10-10,283
315,27.0,7.0,2022-10-10,middle,,,15.0,36.0,607.9832594,2022-10-10,283
316,10.0,7.0,2022-10-10,low,,,,,1930.571964,2022-10-10,283
317,10.0,7.0,2022-10-10,low,,,,,1482.885311,2022-10-10,283
318,8.0,7.0,2022-10-10,low,,,15.2,35.0,755.6019542,2022-10-10,283
319,8.0,7.0,2022-10-10,low,,,15.2,35.0,343.3438473,2022-10-10,283
320,8.0,7.0,2022-10-10,low,,,15.2,35.0,516.8234308,2022-10-10,283
321,5.0,7.0,2022-10-10,low,,,15.3,35.0,894.669545,2022-10-10,283
322,5.0,7.0,2022-10-10,low,,,15.3,35.0,1105.10316,2022-10-10,283
323,6.0,7.0,2022-10-10,low,,,,,1228.495671,2022-10-10,283
324,6.0,7.0,2022-10-10,low,,,,,1352.180933,2022-10-10,283
325,21.0,7.0,2022-10-10,middle,,,,,525.6788721,2022-10-10,283
326,20.0,7.0,2022-10-10,middle,,,,,773.0374108,2022-10-10,283
327,2.0,7.0,2022-10-11,low,,,,,313.538133,2022-10-11,284
328,2.0,7.0,2022-10-11,low,,,,,264.3802593,2022-10-11,284
329,1.0,7.0,2022-10-11,low,,,,,276.1378438,2022-10-11,284
330,1.0,7.0,2022-10-11,low,,,,,189.65231,2022-10-11,284
331,4.0,7.0,2022-10-11,low,,,15.0,35.0,310.6917216,2022-10-11,284
332,3.0,7.0,2022-10-11,low,,,15.0,35.0,510.889616,2022-10-11,284
333,13.0,7.0,2022-10-11,middle,,14.0,,,1415.104696,2022-10-11,284
334,14.0,7.0,2022-10-11,middle,,,13.7,,1402.623779,2022-10-11,284
335,14.0,7.0,2022-10-11,middle,,,13.7,,1242.779813,2022-10-11,284
