specimen_number,specimen_id,collection_group,date_of_collection,intertidal_zone,time_of_collection,internal_temp(c),pool_temp(c),salinity(ppt),num_cells_per_ug_protein,ng_chlorophyll_per_ug_protein,date_time,doy,compatible_date
197,1.0,4.0,2022-08-27,low,0635,,14.7,35.0,297.1462177,12.43931228,2022-08-27,239,2022-08-27
220,25.0,4.0,2022-08-27,high,0824,,14.6,34.0,793.9801986,69.63560656,2022-08-27,239,2022-08-27
219,24.0,4.0,2022-08-27,high,0822,,14.6,34.0,1197.267939,78.92009447,2022-08-27,239,2022-08-27
218,30.0,4.0,2022-08-27,high,0817,,14.9,34.0,1334.367536,99.49341579,2022-08-27,239,2022-08-27
217,29.0,4.0,2022-08-27,high,0815,,14.8,34.0,870.6391655,90.27023688,2022-08-27,239,2022-08-27
215,23.0,4.0,2022-08-27,high,0805,,14.7,35.0,1053.853747,77.35194209,2022-08-27,239,2022-08-27
214,15.0,4.0,2022-08-27,middle,0803,,14.7,35.0,1754.537098,105.6422157,2022-08-27,239,2022-08-27
213,16.0,4.0,2022-08-27,middle,0800,,14.7,35.0,914.5124018,61.77201124,2022-08-27,239,2022-08-27
212,26.0,4.0,2022-08-27,middle,0750,,14.6,35.0,1554.207123,96.98451006,2022-08-27,239,2022-08-27
210,13.0,4.0,2022-08-27,middle,0747,,14.6,35.0,1314.613642,38.50375629,2022-08-27,239,2022-08-27
211,26.0,4.0,2022-08-27,middle,0750,,14.6,35.0,1457.925913,69.18316964,2022-08-27,239,2022-08-27
208,9.0,4.0,2022-08-27,low,0728,,14.5,36.0,1057.835206,35.44519768,2022-08-27,239,2022-08-27
207,10.0,4.0,2022-08-27,low,0725,,14.5,36.0,1200.122177,61.45422582,2022-08-27,239,2022-08-27
206,8.0,4.0,2022-08-27,low,0719,,14.3,35.0,1206.66422,25.21170391,2022-08-27,239,2022-08-27
205,7.0,4.0,2022-08-27,low,0715,,14.3,35.0,1696.712943,60.83022192,2022-08-27,239,2022-08-27
203,6.0,4.0,2022-08-27,low,0703,,14.3,36.0,1967.920083,94.82951315,2022-08-27,239,2022-08-27
201,5.0,4.0,2022-08-27,low,0700,,14.3,36.0,1749.898902,27.20439,2022-08-27,239,2022-08-27
200,4.0,4.0,2022-08-27,low,0649,,14.5,35.0,1079.883735,62.0101231,2022-08-27,239,2022-08-27
199,3.0,4.0,2022-08-27,low,0647,,14.5,35.0,2336.40302,24.52705872,2022-08-27,239,2022-08-27
198,2.0,4.0,2022-08-27,low,0637,,14.7,35.0,270.8601223,7.803771881,2022-08-27,239,2022-08-27
209,27.0,4.0,2022-08-27,middle,0735,,14.3,36.0,985.445892,51.07155709,2022-08-27,239,2022-08-27
229,12.0,4.0,2022-08-28,middle,0715,,14.7,35.0,1701.502066,160.0621564,2022-08-28,240,2022-08-28
231,36.0,4.0,2022-08-28,middle,0728,,14.5,35.0,898.0495232,68.02932355,2022-08-28,240,2022-08-28
230,38.0,4.0,2022-08-28,middle,0726,,14.5,35.0,1150.120743,76.36692914,2022-08-28,240,2022-08-28
228,11.0,4.0,2022-08-28,middle,0713,,14.5,35.0,1691.946311,144.5399072,2022-08-28,240,2022-08-28
226,18.0,4.0,2022-08-28,middle,0706,,14.5,35.0,1160.147794,43.13039671,2022-08-28,240,2022-08-28
225,17.0,4.0,2022-08-28,middle,0704,,14.5,35.0,1834.598528,71.04861051,2022-08-28,240,2022-08-28
223,20.0,4.0,2022-08-28,middle,0652,,14.6,33.0,1564.243863,43.3192935,2022-08-28,240,2022-08-28
221,21.0,4.0,2022-08-28,middle,0645,,14.6,33.0,1645.837984,28.77835465,2022-08-28,240,2022-08-28
227,14.0,4.0,2022-08-28,middle,0711,,14.5,35.0,1453.318481,101.9168041,2022-08-28,240,2022-08-28
242,18.0,5.0,2022-09-06,middle,0402,,14.4,35.0,1447.401561,99.85584244,2022-09-06,249,2022-09-06
246,22.0,5.0,2022-09-06,high,0417,,,,887.2664365,73.63791797,2022-09-06,249,2022-09-06
245,23.0,5.0,2022-09-06,high,0416,,,,1075.135026,72.98856505,2022-09-06,249,2022-09-06
244,11.0,5.0,2022-09-06,middle,0410,,,,1450.145815,65.68811022,2022-09-06,249,2022-09-06
243,17.0,5.0,2022-09-06,middle,0403,,14.4,35.0,1399.51213,167.1051533,2022-09-06,249,2022-09-06
241,16.0,5.0,2022-09-06,middle,0350,,14.1,33.0,1285.043584,59.83489987,2022-09-06,249,2022-09-06
240,26.0,5.0,2022-09-06,middle,0347,,14.0,32.0,1300.687561,100.3160106,2022-09-06,249,2022-09-06
239,20.0,5.0,2022-09-06,middle,0339,,13.8,32.0,912.0980187,67.37398039,2022-09-06,249,2022-09-06
238,21.0,5.0,2022-09-06,middle,0337,,13.8,32.0,1303.686161,136.2313491,2022-09-06,249,2022-09-06
237,25.0,5.0,2022-09-06,high,0329,,13.4,33.0,823.1047757,82.08531956,2022-09-06,249,2022-09-06
236,24.0,5.0,2022-09-06,high,0328,,13.4,33.0,1006.212052,88.4562958,2022-09-06,249,2022-09-06
235,29.0,5.0,2022-09-06,high,0320,,13.2,,1097.798628,129.1678745,2022-09-06,249,2022-09-06
257,19.0,5.0,2022-09-07,middle,0518,,,,1455.891915,77.87278195,2022-09-07,250,2022-09-07
