specimen_number,specimen_id,collection_group,date_of_collection,intertidal_zone,time_of_collection,internal_temp(c),pool_temp(c),salinity(ppt),num_cells_per_ug_protein,ng_chlorophyll_per_ug_protein
120,26,1.00,2022-07-11,medium,0623,,14.4,36,2282.294727,51.0739212
121,21,1.00,2022-07-11,medium,0648,13.9,,,1877.61912,63.95463014
122,20,1.00,2022-07-11,medium,0700,13.9,,,2380.62933,29.5390539
123,23,1.00,2022-07-11,high,0710,13.8,,,2045.243009,78.32227676
124,22,1.00,2022-07-11,high,0713,13.8,,,5462.521754,240.7758323
125,24,1.00,2022-07-11,high,0720,,14.2,36,2274.41386,89.94452582
126,25,1.00,2022-07-11,high,0730,,14.2,36,1582.785053,14.05729703
127,30,1.00,2022-07-11,high,0742,13.7,,,1479.28522,28.51297917
128,1,1.00,2022-07-11,low,0920,,14.5,35,658.3688408,11.11852374
129,2,1.00,2022-07-11,low,0921,,14.5,35,4076.03323,262.3691323
130,,1.00,2022-07-11,,0930,,15.1,35,1660.096618,71.225418
131,28,1.00,2022-07-11,low,0946,16.1,,,2512.282295,87.72841224
132,5,1.00,2022-07-11,low,0954,,15.9,35,3482.132038,18.6617034
133,7,1.00,2022-07-11,low,1003,,15.5,35,1796.317441,33.59358634
134,8,1.00,2022-07-11,low,1004,,,,1484.43104,21.35191528
135,27,1.00,2022-07-11,medium,1019,,14.6,36,2711.280447,162.089469
136,11,1.00,2022-07-11,medium,1030,,16,36,2431.270279,103.0048424
137,15,1.00,2022-07-11,medium,1045,,16,36,4441.802281,179.0530064
138,1,2.00,2022-07-30,low,0715,15.2,,,430.5301039,19.56544648
139,,2.00,2022-07-30,,0720,15.3,,,1097.82855,62.69014233
140,,2.00,2022-07-30,,0730,,,,1788.053748,110.5769912
140,,2.00,2022-07-30,,0730,,,,1898.730403,9.702499214
141,5,2.00,2022-07-30,low,0747,,15.3,35,1591.115867,17.1308434
142,6,2.00,2022-07-30,low,0751,,15.3,35,2382.672506,33.67641943
143,8,2.00,2022-07-30,low,0758,,15.3,35,862.832363,7.978968995
144,27,2.00,2022-07-30,low,0803,,15.1,35,1510.536107,65.24196321
